,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,Síndrome de Catulus: una enfermedad extraña que hace que las niñas desarrollen rasgos felinos. La ciencia moderna ha descubierto dos cosas sobre esta enfermedad: 1. ¡Son realmente lindas! 2. Hay una alta probabilidad de hacer revolotear los corazones de las niñas.,Shoujo,MANGA,Catulus Syndrome ( 2016 ),"Comedia, Vida Escolar, Girls Love",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/606956e091076.jpg,511,2.1K,4.4K,701,258,200,be2e89ba-fd03-4b90-bf96-d3866285c3dc
1,"Sara Ayafuji es una estudiante de segundo año de preparatoria que acaba de ser transferida a la Academia Fujigamine. Desde niña, ha sido una persona tímida y nerviosa. Si alguien la llama por su nombre, Ayafuji se pone roja y no puede hablar. Por ello, decide hacer amigos en la academia, pero ni siquiera con sus incansables esfuerzos consigue su objetivo. Casi una semana después de su traslado, Ayafuji se queda sin ideas, hasta que conoce a Iris Kagen, estudiante de tercer año y presidenta del consejo estudiantil. Kagen es guapa, trabajadora y admirada por todos; es una persona orgullosa que no deja que mucha gente se le acerque. Sin embargo, Kagen esconde un gran secreto: es un vampiro. Cuando circunstancias inesperadas llevan a Kagen a chupar la sangre de Ayafuji, ésta se encuentra marcada como novia de Kagen. Día a día, las dos chicas se van acercando y, con el tiempo, desarrollan sentimientos mutuos. Pero el papel de novia no será tan sencillo como parece, y Ayafuji tendrá que renunciar a algo más que a su sangre para quedarse con Kagen.",Shoujo,MANGA,Vampire x Junior ( 2017 - 2019 ),"Comedia, Vida Escolar, Girls Love, Vampiros, Romance, Ecchi, Drama",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/601094935668b.jpg,1.2K,2.2K,4.1K,956,332,198,853b5a4d-3870-49f8-bca4-df69aabe6918
2,Relatos cortos sobre una chica de mal humor y un chico que es amable con ella.,Kodomo,MANGA,Yoshioka-san está de mal humor ( 2019 ),"Comedia, Romance, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5cafa60617121.jpg,127,349,1.8K,191,52,45,e0f8d452-25f1-40b9-b9f8-7c991e893e88
3,"A finales del siglo XIX en Tokio, Himura Kenshin vive casado con Kamiya Kaoru. Las pasadas luchas le han pasado factura y su cuerpo se deteriora. Empieza así la continuación del ya clásico manga de Nobuhiro Watsuki Rurouni Kenshin, la epopeya del guerrero samurái. Kenshin regresa con nuevas aventuras, ¡y esta vez con una familia y con nuevos amigos!",Shounen,MANGA,Rurouni Kenshin: Hokkaido-hen ( 2017 ),"Acción, Comedia, Samurái, Romance, Historia",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/62312093a0dd0.jpg,198,1.3K,2.2K,343,107,53,76b6b463-d044-4b88-ba2b-265bab921c3f
4,"Spin-Off de Shaman King el cual se centra en Jun Tao, la hermana mayor de Ren.",Shounen,MANGA,Shaman King: Red Crimson ( 2018 ),"Acción, Aventura, Sobrenatural",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5c012a50ef6bc.jpg,103,650,1.2K,154,54,40,7710f49d-54ce-4421-a8a1-aa4b9b24002b
5,"Finalmente Etta está compartiendo una habitación con su maestro, como su amante y no su mascota. A pesar de que Etta alaba la bondad de su amo, otros no lo creen. Lancelot es muy severo después de todo. Pero tal vez esa sonrisa es mejor mantenerla solo para Etta.",Josei,MANGA,"Goshujin-sama, anone ( 2011 )","Boys Love, Comedia, Romance",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/29753_TMOManga599010c480627.jpg,1.9K,676,530,171,79,40,94cf603d-c6d7-4ba9-aecb-8d55d2159c87
6,"Una segunda antología de 13 partes que gira en torno a Megumin y sus actividades diarias. Cuenta con 13 historias, cada una con un autor diferente, algunos de los cuales también contribuyeron al primer volumen.",Shounen,MANGA,Kono Subarashii Sekai ni Shukufuku wo! Megumin Anthology Aka ( 2037 ),"Comedia, Fantasia, Magia, Romance",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/6162205055ab8.jpg,249,571,974,244,69,21,ce8e44ae-d238-4b46-8135-d909d5a2bd0d
7,"Hakone invita a salir a su compañero de clase Nekomiya, de quien se enamoró a primera vista, sólo para que Nekomiya admita que es un travesti, pero ¿está diciendo la verdad?",Kodomo,MANGA,Schrodinger no Nekomiya-san ( 2019 ),"Comedia, Misterio, Romance",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5cf01876544d3.jpg,475,296,551,85,36,18,38c59766-ee06-4cda-bede-d54db5af20b8
8,"Basado en una novela ligera. En 2026, cuatro años después del infame incidente de Sword Art Online, surgió una nueva y revolucionaria forma de tecnología: la Augma, un dispositivo que utiliza un sistema de Realidad Aumentada. A diferencia de la Realidad Virtual de NerveGear y Amusphere, es perfectamente segura y permite a los jugadores usarla mientras están conscientes, creando un éxito instantáneo en el mercado. La aplicación más popular para Augma es el juego Ordinal Scale, que sumerge a los jugadores en un juego de rol de fantasía con clasificaciones y recompensas de los jugadores. Siguiendo la nueva moda, los amigos de Kirito se sumergen en el juego y, a pesar de sus reservas sobre el sistema, Kirito finalmente se une a ellos. Aunque al principio parece ser solo diversión y juegos, pronto descubren que el juego no es todo lo que parece ...",Kodomo,MANGA,Sword Art Online: Ordinal Scale ( 2017 ),"Acción, Aventura, Drama, Ciencia Ficción",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e32e5eb34e50.jpg,97,259,403,110,41,16,70fc64d6-3e97-407d-abe2-524d1d0a7653
9,"cuenta la historia de Chigira Chiaki, una chica enérgica que se convierte en la bravucona de la academia Kiyomi. Al enfrentar y derrotar a todas las chicas en el equipo de artes marciales, busca un verdadero reto y al no encontrarlo se une al Club Enbuken, donde sus integrantes le prometen una pelea a su nivel, pero al ver el cuarto de el club se da cuenta de que es sólo un club de videojuegos, entonces revela que no le importan las luchas virtuales, pero al escuchar eso la líder del club quiere darle una lección instalando el Brain Burst en su Neuro Linker pero al aceptar el archivo es imposible instalarlo ya que Chigira ya contaba con el Brain Burst, aunque no lo sabía.",Shounen,MANGA,Accel World - Dural: Magisa Garden ( 2009 ),"Acción, Comedia, Fantasia, Ciencia Ficción, Realidad Virtual",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/9793_TMOmanga111558.jpg,244,1.5K,1.8K,107,49,49,4e6a5c06-8458-42a3-a914-5bb791b1886c
